File,Database_Code
Kalgoorlieite__0020523.cif,amcsd 0020523
Kalgoorlieite__0020524.cif,amcsd 0020524
Kalininite__0008103.cif,amcsd 0008103
Kalininite__0008104.cif,amcsd 0008104
Kalininite__0008105.cif,amcsd 0008105
Kalininite__0008106.cif,amcsd 0008106
Kalininite__0012908.cif,amcsd 0012908
Kalungaite__0014013.cif,amcsd 0014013
Kanatzidisite__0021227.cif,amcsd 0021227
Kawazulite__0013193.cif,amcsd 0013193
Keilite__0004274.cif,amcsd 0004274
Keilite__0005801.cif,amcsd 0005801
Kenhsuite__0009347.cif,amcsd 0009347
Kenhsuite__0009348.cif,amcsd 0009348
Kenhsuite__0009349.cif,amcsd 0009349
Kenoargentotetrahedrite-(Fe)__0014610.cif,amcsd 0014610
Kenoargentotetrahedrite-(Fe)__0021071.cif,amcsd 0021071
Kenoargentotetrahedrite-(Zn)__0021447.cif,amcsd 0021447
Kenorozhdestvenskayaite-(Fe)__0021482.cif,amcsd 0021482
Kingstonite__0014575.cif,amcsd 0014575
Kirkiite__0006074.cif,amcsd 0006074
Kirkiite__0007156.cif,amcsd 0007156
Klockmannite__0000066.cif,amcsd 0000066
Kobellite__0014683.cif,amcsd 0014683
Kochkarite__0015543.cif,amcsd 0015543
Kochkarite__0015545.cif,amcsd 0015545
Krennerite__0000052.cif,amcsd 0000052
Krennerite__0015699.cif,amcsd 0015699
Krennerite__0019042.cif,amcsd 0019042
Krupkaite__0000456.cif,amcsd 0000456
Krupkaite__0005782.cif,amcsd 0005782
Krupkaite__0005783.cif,amcsd 0005783
Krupkaite__0005784.cif,amcsd 0005784
Krupkaite__0005785.cif,amcsd 0005785
Krupkaite__0006081.cif,amcsd 0006081
Krupkaite__0014750.cif,amcsd 0014750
Kudriavite__0006143.cif,amcsd 0006143
Kuramite__0013950.cif,amcsd 0013950
Laffittite__0000889.cif,amcsd 0000889
Laffittite__0017799.cif,amcsd 0017799
Laphamite__0006181.cif,amcsd 0006181
Laphamite__0006182.cif,amcsd 0006182
Laphamite__0010945.cif,amcsd 0010945
Laurite__0010195.cif,amcsd 0010195
Laurite__0017724.cif,amcsd 0017724
Lautite__0009298.cif,amcsd 0009298
Lautite__0010484.cif,amcsd 0010484
Lautite__0018614.cif,amcsd 0018614
Lazerckerite__0021475.cif,amcsd 0021475
