File,Database_Code,Category
ClathrateI_all_CollCode189544.cif,ICSD 189544,6c-16i-24k
ClathrateI_all_CollCode189545.cif,ICSD 189545,6c-16i-24k
ClathrateI_all_CollCode189546.cif,ICSD 189546,6c-16i-24k
ClathrateI_all_CollCode189547.cif,ICSD 189547,6c-16i-24k
ClathrateI_all_CollCode189548.cif,ICSD 189548,6c-16i-24k
ClathrateI_all_CollCode189549.cif,ICSD 189549,6c-16i-24k
ClathrateI_all_CollCode189550.cif,ICSD 189550,6c-16i-24k
ClathrateI_all_CollCode189551.cif,ICSD 189551,6c-16i-24k
ClathrateI_all_CollCode189552.cif,ICSD 189552,6c-16i-24k
ClathrateI_all_CollCode189553.cif,ICSD 189553,6c-16i-24k
ClathrateI_all_CollCode189554.cif,ICSD 189554,6c-16i-24k
ClathrateI_all_CollCode189555.cif,ICSD 189555,6c-16i-24k
ClathrateI_all_CollCode189556.cif,ICSD 189556,6c-16i-24k
ClathrateI_all_CollCode189557.cif,ICSD 189557,6c-16i-24k
ClathrateI_all_CollCode189558.cif,ICSD 189558,6c-16i-24k
ClathrateI_all_CollCode189559.cif,ICSD 189559,6c-16i-24k
ClathrateI_all_CollCode189560.cif,ICSD 189560,6c-16i-24k
ClathrateI_all_CollCode189561.cif,ICSD 189561,6c-16i-24k
ClathrateI_all_CollCode189562.cif,ICSD 189562,6c-16i-24k
ClathrateI_all_CollCode189563.cif,ICSD 189563,6c-16i-24k
ClathrateI_all_CollCode189564.cif,ICSD 189564,6c-16i-24k
ClathrateI_all_CollCode189565.cif,ICSD 189565,6c-16i-24k
ClathrateI_all_CollCode189566.cif,ICSD 189566,6c-16i-24k
ClathrateI_all_CollCode189567.cif,ICSD 189567,6c-16i-24k
ClathrateI_all_CollCode189568.cif,ICSD 189568,6c-16i-24k
ClathrateI_all_CollCode189569.cif,ICSD 189569,6c-16i-24k
ClathrateI_all_CollCode189570.cif,ICSD 189570,6c-16i-24k
ClathrateI_all_CollCode189571.cif,ICSD 189571,6c-16i-24k
ClathrateI_all_CollCode189572.cif,ICSD 189572,6c-16i-24k
ClathrateI_all_CollCode189573.cif,ICSD 189573,6c-16i-24k
ClathrateI_all_CollCode189594.cif,ICSD 189594,6c-16i-24k
ClathrateI_all_CollCode189595.cif,ICSD 189595,6c-16i-24k
ClathrateI_all_CollCode189596.cif,ICSD 189596,6c-16i-24k
ClathrateI_all_CollCode189597.cif,ICSD 189597,6c-16i-24k
ClathrateI_all_CollCode189598.cif,ICSD 189598,6c-16i-24k
ClathrateI_all_CollCode189599.cif,ICSD 189599,6c-16i-24k
ClathrateI_all_CollCode189600.cif,ICSD 189600,6c-16i-24k
ClathrateI_all_CollCode189601.cif,ICSD 189601,6c-16i-24k
ClathrateI_all_CollCode189602.cif,ICSD 189602,6c-16i-24k
ClathrateI_all_CollCode189846.cif,ICSD 189846,6c-16i-24k
ClathrateI_all_CollCode189847.cif,ICSD 189847,6c-16i-24k
ClathrateI_all_CollCode189848.cif,ICSD 189848,6c-16i-24k
ClathrateI_all_CollCode190633.cif,ICSD 190633,6c-16i-24k
ClathrateI_all_CollCode190634.cif,ICSD 190634,6c-16i-24k
ClathrateI_all_CollCode190635.cif,ICSD 190635,6c-16i-24k
ClathrateI_all_CollCode191350.cif,ICSD 191350,6c-16i-24k
ClathrateI_all_CollCode191351.cif,ICSD 191351,6c-16i-24k
ClathrateI_all_CollCode191408.cif,ICSD 191408,6c-16i-24k
ClathrateI_all_CollCode191764.cif,ICSD 191764,6c-16i-24k
ClathrateI_all_CollCode192979.cif,ICSD 192979,6c-16i-24k
ClathrateI_all_CollCode192980.cif,ICSD 192980,6c-16i-24k
ClathrateI_all_CollCode192981.cif,ICSD 192981,6c-16i-24k
ClathrateI_all_CollCode193668.cif,ICSD 193668,6c-16i-24k
ClathrateI_all_CollCode195164.cif,ICSD 195164,6c-16i-24k
ClathrateI_all_CollCode195166.cif,ICSD 195166,6c-16i-24k
ClathrateI_all_CollCode195168.cif,ICSD 195168,6c-16i-24k
ClathrateI_all_CollCode196332.cif,ICSD 196332,6c-16i-24k
ClathrateI_all_CollCode196333.cif,ICSD 196333,6c-16i-24k
ClathrateI_all_CollCode199093.cif,ICSD 199093,6c-16i-24k
ClathrateI_all_CollCode205227.cif,ICSD 205227,6c-16i-24k
ClathrateI_all_CollCode205228.cif,ICSD 205228,6c-16i-24k
